INSTNM,Latitude,Longitude,ZIP,,,
West Virginia School of Osteopathic Medicine,37.8040415,-80.4381192,24901,,,
Southern New Hampshire University,43.0382166,-71.4493554,03106-1045,,,
University of Health Sciences and Pharmacy in St. Louis,38.6364229,-90.2608246,63110-1088,,,
Philadelphia College of Osteopathic Medicine,40.0052824,-75.2164944,19131,,,
Eastern Virginia Medical School,36.8604506,-76.3035708,23507,,,
Los Angeles County College of Nursing and Allied Health,34.0626488,-118.2118516,90033-1084,,,
Grand Canyon University,33.5100339,-112.1288588,85017,,,
Midwestern University-Glendale,33.6637764,-112.1833108,85308,,,
University of California-San Francisco,37.7626459,-122.4587106,94143-0244,,,
Cornell University,42.4534492,-76.4735027,14853,,,
Worcester Polytechnic Institute,42.2746179,-71.8068416,01609-2280,,,
George Washington University,38.8997145,-77.0485992,20052,,,
Pennsylvania State University-Main Campus,40.7982133,-77.8599084,16802-1503,,,
Des Moines University-Osteopathic Medical Center,41.5410117,-93.8163328,50312,,,
The University of Texas at Austin,30.2850284,-97.7335226,78705,,,
Lehigh University,40.6048687,-75.3775187,18015,,,
University of Pennsylvania,39.9522188,-75.1932137,19104-6303,,,
Harvard University,42.3744368,-71.1182488,2138,,,
The Pennsylvania State University,40.7982133,-77.8599084,16802-1503,,,
SUNY Downstate Health Sciences University,40.6550204,-73.9466278,11203-2098,,,
Villanova University,40.0368926,-75.3425785,19085-1699,,,
University of Wisconsin-Madison,43.076592,-89.4124875,53706-1380,,,
Boston University,42.3504997,-71.1053991,2215,,,
Drexel University,39.9566127,-75.1899441,19104,,,
West Coast University-Ontario,34.0665449,-117.590004,91761-7698,,,
Center for Allied Health Education,40.608787,-73.9589939,11229,,,
Northwestern University,42.0564594,-87.675267,60208,,,
University of California-San Diego,32.8800604,-117.2340135,92093,,,
Duke University,36.0014258,-78.9382286,27708,,,
Ohio State University-Main Campus,40.0066723,-83.0304546,43210,,,
University of Michigan-Ann Arbor,42.277145,-83.7382071,48109,,,
Santa Clara University,37.3489255,-121.9367804,95053,,,
University of Maryland-College Park,38.9869183,-76.9425543,20742,,,
Stanford University,37.42766,-122.17006,94305,,,
Texas A & M University-College Station,30.6186806,-96.3364655,77843-1246,,,
Fordham University,40.8614567,-73.8852771,10458,,,
Carnegie Mellon University,40.4432027,-79.9428499,15213-3890,,,
Boston College,42.3355488,-71.1684945,2467,,,
Kettering University,43.0125473,-83.7126198,48504-6214,,,
New York University,40.7127753,-74.0059728,10012-1091,,,
West Coast University-Miami,25.810705,-80.3473325,33178-2775,,,
University of Miami,25.7616798,-80.1917902,33146,,,
Purdue University-Main Campus,40.4237054,-86.9211946,47907-2040,,,
Syracuse University,43.0386502,-76.1336922,13244,,,
Babson College,42.2964421,-71.2657077,02457-0310,,,
Massachusetts Maritime Academy,41.7408213,-70.6222566,02532-1803,,,
Excelsior University,42.7054057,-73.8629757,12203-5159,,,
Georgia Institute of Technology-Main Campus,33.7756178,-84.396285,30332-0530,,,
Bryant University,41.9220919,-71.5377265,02917-1291,,,
George Mason University,38.8314578,-77.3117471,22030-4444,,,
Rutgers University-New Brunswick,40.5008405,-74.4474174,08901-1281,,,
Roseman University of Health Sciences,36.0734556,-115.06482,89014,,,
Florida International University,25.7562465,-80.3755401,33199,,,
American University,38.9380155,-77.088922,20016-8001,,,
Bucknell University,40.9547722,-76.8850759,17837,,,
Temple University,39.9811911,-75.1553563,19122-6096,,,
California Polytechnic State University-San Luis Obispo,35.3050053,-120.6624942,93407,,,
University of Central Florida,28.6024274,-81.2000599,32816,,,
The University of Texas at Arlington,32.735687,-97.1080656,76013,,,
Johns Hopkins University,39.3299013,-76.6205177,21218-2688,,,
Yale University,41.3163244,-72.9223431,6520,,,
Brooklyn Law School,40.6921893,-73.9896939,11201,,,
Oregon Health & Science University,45.54171732,-122.6752696,97239-3098,,,
Northeastern University Professional Programs,42.339904,-71.0898892,2115,,,
Helene Fuld College of Nursing,40.8024351,-73.9433147,10035-2737,,,
Ivy Tech Community College,39.8845457,-85.3868642,46208-5752,,,
Providence College,41.8440047,-71.4347475,02918-0001,,,
American Sentinel College of Nursing and Health Sciences,41.535424,-73.081523,06723-2540,,,
The Creative Circus,33.813046,-84.361776,30324,,,
University of Phoenix-Arizona,33.4113377,-112.0128315,85040,,,
University of Washington-Seattle Campus,47.6546407,-122.3074579,98195-4550,,,
Brown University,41.8267718,-71.4025482,2912,,,
Rensselaer Polytechnic Institute,42.7297628,-73.6788884,12180-3590,,,
The University of Alabama,33.2114385,-87.5401002,35487-0100,,,
Phillips School of Nursing at Mount Sinai Beth Israel,40.8047412,-73.9367912,10035-6354,,,
Clarkson University,44.6647724,-74.9932733,13699,,,
Sacred Heart University,41.220562,-73.2423947,06825-1000,,,
Southern College of Optometry,35.1383947,-90.0200838,38104-2211,,,
Maine Maritime Academy,44.3885883,-68.803489,04420-0001,,,
University of Colorado Boulder,40.0073499,-105.2659871,80309-0017,,,
West Coast University-Los Angeles,34.1871857,-118.3994289,91606,,,
Vanderbilt University,36.1447034,-86.8026551,37240,,,
New York College of Podiatric Medicine,40.8049519,-73.9403658,10035-1940,,,
Wentworth Institute of Technology,42.3370447,-71.0965415,2115,,,
Tarrant County College District,32.7561692,-97.3381909,76102,,,
Houston Community College,29.7604267,-95.3698028,77002,,,
Golden Gate University,37.7893349,-122.3988242,94105-2968,,,
Colorado School of Mines,39.7510475,-105.2225708,80401,,,
University of Chicago,41.7904484,-87.6003953,60637,,,
Clemson University,34.673407,-82.8367119,29634,,,
University of Maryland Global Campus,38.9864552,-76.9539931,20783-8010,,,
Platt College-Aurora,39.6610276,-104.8546175,80111,,,
Dartmouth College,43.7044406,-72.2886934,03755-3529,,,
University of Pittsburgh-Pittsburgh Campus,40.4440279,-79.9605375,15260,,,
Marquette University,43.0386955,-87.931014,53233,,,
University of Rochester,43.1305531,-77.6260033,14627-0011,,,
American University of Health Sciences,33.796855,-118.171374,90755-3612,,,
Saint Joseph's University,39.9951217,-75.2399328,19131-1395,,,
Wake Forest University,36.1354887,-80.2792887,27106,,,
Harvey Mudd College,34.1060906,-117.7086431,91711,,,
Emory University,33.7971368,-84.32224,30322,,,
Western Governors University,40.6847421,-111.8698951,84107,,,
University of Delaware,39.6779504,-75.7506114,19716,,,
DigiPen Institute of Technology,47.6888173,-122.150317,98052,,,
University of the Pacific,37.9798869,-121.3128577,95211-0197,,,
University of South Florida,28.0587031,-82.4138539,33620-9951,,,
Marist College,41.7231052,-73.9344876,12601,,,
Texas Tech University,33.5845522,-101.8746483,79409-5005,,,
Iowa State University,42.0266573,-93.6464516,50011-2103,,,
University of California-Santa Barbara,34.4139629,-119.848947,93106,,,
Milwaukee School of Engineering,43.045115,-87.9080071,53202-3109,,,
The University of Texas at Dallas,32.7766642,-96.7969879,75080-3021,,,
University of Dayton,39.7401454,-84.1790445,45469,,,
Chamberlain University-Arizona,34.0489281,-111.0937311,85021,,,
University of Southern California,34.0223519,-118.285117,90089,,,
San Diego State University,32.7774047,-117.0714068,92182-0001,,,
Oregon State University,44.5637806,-123.2794442,97331,,,
Rensselaer at Hartford,41.7733194,-72.6739422,6120,,,
Miami Dade College,25.7767289,-80.1929987,33132-2204,,,
Lone Star College System,29.868389,-95.4665258,77381-4399,,,
Dominican University of California,37.9800025,-122.5131501,94901-2298,,,
University of North Carolina at Chapel Hill,35.9049122,-79.0469134,27599,,,
Northern Virginia Community College,38.8332102,-77.2365466,22003-3796,,,
Duquesne University,40.4369485,-79.9902576,15282,,,
Dallas College,32.7766642,-96.7969879,75215-3604,,,
